n_towns,,cost,nfev,ncycles,njev,nhev,cost / mean,percentile_rank,nfev * pr
8,29,1.5996950617999999,240,5,0,0,0.46490244692827254,0.004166666666666667,1.0
8,30,0.9193698931000001,480,10,0,0,0.26718674273673026,7.440476190476191e-05,0.03571428571428572
8,31,1.4310565612000006,192,4,0,0,0.41589282412738865,0.0016865079365079366,0.3238095238095238
8,32,1.7421228746,240,5,0,0,0.5062947349102432,0.008060515873015874,1.9345238095238098
8,33,1.6635862050000008,288,6,0,0,0.48347045374408576,0.005629960317460317,1.6214285714285714
8,34,2.0222222950999997,768,16,0,0,0.587697065318838,0.02547123015873016,19.561904761904763
8,35,1.8518484867000007,720,15,0,0,0.538183128376054,0.013095238095238096,9.428571428571429
8,36,1.9445096508,240,5,0,0,0.5651122619053152,0.01929563492063492,4.630952380952381
8,37,1.8263352607000005,288,6,0,0,0.5307684894991371,0.01168154761904762,3.3642857142857143
8,38,1.3930728746000003,624,13,0,0,0.40485402725579805,0.0013640873015873015,0.8511904761904762
8,39,1.6543708545000004,576,12,0,0,0.48079229395034906,0.00533234126984127,3.0714285714285716
8,40,1.3970125941999998,480,10,0,0,0.40599898627079317,0.0013640873015873015,0.6547619047619048
8,41,1.6778715700000006,288,6,0,0,0.4876220581981812,0.0060267857142857146,1.7357142857142858
8,42,1.4841791285999997,288,6,0,0,0.431331273717639,0.0023561507936507935,0.6785714285714285
8,43,1.2750978548999998,432,9,0,0,0.3705681957591209,0.0005456349206349206,0.2357142857142857
8,44,1.6460451826000002,144,3,0,0,0.47837269203304567,0.005133928571428571,0.7392857142857143
8,45,1.711354394,288,6,0,0,0.4973528170030206,0.007192460317460317,2.071428571428571
8,46,1.4276907628000002,288,6,0,0,0.4149146577571889,0.0016617063492063492,0.47857142857142854
8,47,1.1713943352999998,240,5,0,0,0.34042993930737864,0.0002232142857142857,0.05357142857142857
8,48,1.5791603041999993,480,10,0,0,0.4589346476374645,0.00376984126984127,1.8095238095238095
8,49,1.3805222877,384,8,0,0,0.4012065830024973,0.0012648809523809524,0.48571428571428577
8,50,1.2197569351,192,4,0,0,0.3544850498867247,0.0003720238095238095,0.07142857142857142
8,51,1.5841989099999998,288,6,0,0,0.4603989643197273,0.0038938492063492064,1.1214285714285714
8,52,1.6805808720999993,192,4,0,0,0.48840943399612863,0.006175595238095238,1.1857142857142857
8,53,1.7954956657000003,288,6,0,0,0.5218059043664155,0.010342261904761904,2.9785714285714286
8,54,1.4795279678999997,432,9,0,0,0.42997955610462496,0.0021825396825396826,0.9428571428571428
8,55,2.0138506763,240,5,0,0,0.5852641103402241,0.02470238095238095,5.928571428571428
8,56,1.5043403815000003,192,4,0,0,0.43719052529012514,0.002628968253968254,0.5047619047619047
8,57,1.4366273399999998,336,7,0,0,0.41751180061688387,0.0017609126984126984,0.5916666666666667
8,58,1.2340317244000003,576,12,0,0,0.35863358083704744,0.0003968253968253968,0.22857142857142856
8,59,1.4344314333000006,144,3,0,0,0.4168736274909963,0.001736111111111111,0.25
8,60,2.0245015494,384,8,0,0,0.5883594608756822,0.02571924603174603,9.876190476190477
8,61,2.2397475090000007,192,4,0,0,0.6509141162591064,0.05238095238095238,10.057142857142857
8,62,2.0171812328000005,384,8,0,0,0.5862320347299766,0.02502480158730159,9.609523809523811
8,63,1.1604416748999997,576,12,0,0,0.3372468835226062,0.0002232142857142857,0.12857142857142856
8,64,1.8188863854,384,8,0,0,0.5286037016989316,0.011259920634920635,4.3238095238095235
8,65,1.6160595891999998,192,4,0,0,0.46965829634780143,0.004464285714285714,0.8571428571428571
8,66,1.3214597926999994,240,5,0,0,0.3840418751135496,0.0007936507936507937,0.19047619047619047
8,67,1.8613647083999998,144,3,0,0,0.5409487271826562,0.013640873015873016,1.9642857142857144
8,68,1.9458735937999998,384,8,0,0,0.5655086502253848,0.01939484126984127,7.447619047619048
8,69,1.6557312616000002,240,5,0,0,0.4811876546692206,0.005406746031746032,1.2976190476190477
8,70,1.3251194140000002,384,8,0,0,0.3851054321237755,0.000818452380952381,0.3142857142857143
8,71,1.4229857998,240,5,0,0,0.4135473041510923,0.001636904761904762,0.39285714285714285
8,72,1.9886860413000014,336,7,0,0,0.5779507787766495,0.022271825396825397,7.483333333333333
8,73,1.2549125315999998,576,12,0,0,0.36470194886100954,0.00042162698412698415,0.24285714285714288
8,74,1.9367427224000004,384,8,0,0,0.5628550416984756,0.018898809523809523,7.257142857142856
8,75,1.3127555033999996,384,8,0,0,0.3815122396280289,0.0007936507936507937,0.3047619047619048
8,76,1.5546725851999996,384,8,0,0,0.4518180410074597,0.0033978174603174604,1.3047619047619048
8,77,1.4874304341000004,288,6,0,0,0.43227616622794085,0.002380952380952381,0.6857142857142857
8,78,1.6514215054000005,240,5,0,0,0.47993515583310514,0.005208333333333333,1.25
8,79,1.8669971715999998,288,6,0,0,0.5425856303565442,0.013988095238095239,4.0285714285714285
8,80,2.2070676852999993,768,16,0,0,0.6414167249336498,0.04732142857142857,36.34285714285714
8,81,1.7653974532000003,192,4,0,0,0.5130587793839376,0.009226190476190476,1.7714285714285714
8,82,1.3813485851999996,432,9,0,0,0.4014467211005722,0.0012648809523809524,0.5464285714285715
8,83,2.3246676499,192,4,0,0,0.6755935581356602,0.06584821428571429,12.642857142857142
8,84,1.2246605187000004,528,11,0,0,0.3559101264958832,0.0003968253968253968,0.20952380952380953
8,85,1.3935445182000001,672,14,0,0,0.4049910960440653,0.0013640873015873015,0.9166666666666666
8,86,1.8359681844,672,14,0,0,0.5335680041729925,0.012276785714285714,8.25
8,87,1.5883053798999993,480,10,0,0,0.46159238420976495,0.003918650793650794,1.880952380952381
8,88,1.8232998231000004,240,5,0,0,0.5298863323921756,0.01158234126984127,2.779761904761905
8,89,2.160739653600001,624,13,0,0,0.6279528993502508,0.04079861111111111,25.458333333333332
8,90,1.8805258839,192,4,0,0,0.5465173368437679,0.014905753968253969,2.861904761904762
8,91,2.3708239285000006,672,14,0,0,0.6890074689331959,0.07504960317460317,50.43333333333333
8,92,1.5823195729999997,192,4,0,0,0.45985279249562994,0.003794642857142857,0.7285714285714285
8,93,0.9005963230999998,336,7,0,0,0.26173077876022177,4.96031746031746e-05,0.016666666666666666
8,94,1.5187056882,240,5,0,0,0.44136536235450313,0.002777777777777778,0.6666666666666667
8,95,1.3106409548,384,8,0,0,0.38089771074576656,0.0007688492063492063,0.29523809523809524
8,96,1.3955094582,384,8,0,0,0.405562145762153,0.0013640873015873015,0.5238095238095237
8,97,1.5208962656000005,240,5,0,0,0.4420019866823297,0.0028273809523809523,0.6785714285714286
8,98,1.4380058479000002,432,9,0,0,0.41791242177970667,0.0017609126984126984,0.7607142857142857
8,99,1.3249204860000001,192,4,0,0,0.3850476197843047,0.000818452380952381,0.15714285714285714
9,0,2.158342989900001,342,6,0,0,0.503113538692818,0.0014632936507936508,0.5004464285714286
9,1,2.4581092799999995,285,5,0,0,0.5729895869848534,0.006324404761904762,1.8024553571428572
9,2,1.7625975,228,4,0,0,0.41086457049034664,0.00013227513227513228,0.03015873015873016
9,3,2.0762066038,627,11,0,0,0.4839674029490615,0.0008763227513227513,0.5494543650793651
9,4,2.5651371251999997,285,5,0,0,0.5979379655276604,0.01009975749559083,2.8784308862433865
9,5,2.6140446850999997,285,5,0,0,0.6093384035698365,0.012122464726631393,3.454902447089947
9,6,2.0952087019999994,513,9,0,0,0.48839682538688867,0.0009865520282186949,0.5061011904761905
9,7,1.9251024249999997,399,7,0,0,0.4487447536930863,0.0003802910052910053,0.15173611111111113
9,8,1.9414511093999993,513,9,0,0,0.45255566071757036,0.00043264991181657847,0.22194940476190475
9,9,2.1917539239000003,456,8,0,0,0.5109016860421653,0.0017581569664902998,0.8017195767195767
9,10,2.053517728,570,10,0,0,0.47867858618262676,0.0008019179894179895,0.457093253968254
9,11,2.0055898009,456,8,0,0,0.4675065022653206,0.0006283068783068783,0.2865079365079365
9,12,1.9798898259,855,15,0,0,0.4615157929910888,0.0005401234567901234,0.4618055555555555
9,13,2.2469283418,456,8,0,0,0.5237629396820566,0.002281746031746032,1.0404761904761906
9,14,2.0372385093999994,342,6,0,0,0.47488387175803026,0.0007357804232804233,0.25163690476190476
9,15,1.9055534708999997,456,8,0,0,0.4441878581852735,0.00032517636684303354,0.1482804232804233
9,16,2.0410949922999992,285,5,0,0,0.475782824689889,0.0007523148148148148,0.2144097222222222
9,17,2.6653707471999994,513,9,0,0,0.6213025987191415,0.014809303350970018,7.597172619047619
9,18,2.2426412695999995,627,11,0,0,0.5227636156287124,0.0022431657848324513,1.4064649470899468
9,19,2.5510990668000004,285,5,0,0,0.59466566947877,0.009518298059964727,2.7127149470899474
9,20,2.5626149757000003,399,7,0,0,0.5973500480530074,0.009992283950617284,3.986921296296296
9,21,2.5249066597,456,8,0,0,0.588560173417843,0.008462852733686067,3.8590608465608462
9,22,1.9833659660999996,228,4,0,0,0.46232608737210157,0.0005511463844797178,0.12566137566137564
9,23,1.8162843668999997,1083,19,0,0,0.42337907338158576,0.00017912257495590828,0.19398974867724866
9,24,2.5563123278,627,11,0,0,0.5958808897667932,0.009713955026455027,6.090649801587302
9,25,2.2163761474999997,570,10,0,0,0.5166411695736756,0.001984126984126984,1.130952380952381
9,26,1.9257915364000002,513,9,0,0,0.44890538676977065,0.0003802910052910053,0.19508928571428572
9,27,2.1324934739000003,342,6,0,0,0.49708797114905184,0.0012759038800705467,0.436359126984127
9,28,2.1716261099,228,4,0,0,0.5062098572758023,0.0015597442680776014,0.3556216931216931
9,29,2.7195335089,513,9,0,0,0.6339280335234243,0.018174052028218694,9.32328869047619
9,30,2.0108699817,399,7,0,0,0.46873732167616355,0.0006420855379188713,0.2561921296296296
9,31,1.8326472399999998,285,5,0,0,0.4271932878169401,0.0001984126984126984,0.05654761904761905
9,32,2.6773601627000003,513,9,0,0,0.6240973525128115,0.015506503527336861,7.9548363095238095
9,33,1.3612143568,969,17,0,0,0.3173014554099421,5.5114638447971785e-06,0.005340608465608466
9,34,1.4971856587000003,798,14,0,0,0.3489966045033437,1.1022927689594357e-05,0.008796296296296297
9,35,2.3202845007,342,6,0,0,0.5408623890567835,0.0033564814814814816,1.1479166666666667
9,36,2.13951388,1083,19,0,0,0.4987244401313034,0.0013365299823633156,1.447461970899471
9,37,1.8912732577999998,570,10,0,0,0.4408591154508477,0.000294863315696649,0.16807208994708994
9,38,2.5817951696000008,342,6,0,0,0.6018209849110508,0.010774911816578484,3.6850198412698414
9,39,2.5912944754999994,513,9,0,0,0.6040352897869851,0.011155202821869489,5.722619047619047
9,40,1.7319417181999999,342,6,0,0,0.4037186539539265,9.369488536155203e-05,0.0320436507936508
9,41,2.0082384487,684,12,0,0,0.46812390671569964,0.0006365740740740741,0.4354166666666667
9,42,2.1733486493,1596,28,0,0,0.5066113842328832,0.001576278659611993,2.515740740740741
9,43,2.436655477300001,456,8,0,0,0.5679886679254994,0.005776014109347443,2.633862433862434
9,44,2.0670387241999992,399,7,0,0,0.4818303541252877,0.0008460097001763669,0.3375578703703704
9,45,2.6394721493000004,456,8,0,0,0.6152655900983501,0.013409391534391534,6.11468253968254
9,46,1.6812179505,342,6,0,0,0.39189485468624763,5.511463844797178e-05,0.018849206349206348
9,47,1.9514378862000001,399,7,0,0,0.45488359591577376,0.00043816137566137566,0.17482638888888888
9,48,2.2716818648,1083,19,0,0,0.5295330293341286,0.0026455026455026454,2.865079365079365
9,49,2.2273013419999996,342,6,0,0,0.5191878515846088,0.0020612874779541448,0.7049603174603175
9,50,2.8108357240000004,285,5,0,0,0.6552107400924957,0.02542713844797178,7.246734457671957
9,51,2.4695860732000003,1425,25,0,0,0.5756648476207755,0.006693672839506173,9.538483796296298
9,52,2.113051698,741,13,0,0,0.4925560590677495,0.00111331569664903,0.8249669312169313
9,53,3.9606195651,114,2,0,0,0.9232273712463992,0.3484567901234568,39.724074074074075
9,54,2.7077012667000013,570,10,0,0,0.6311699171018135,0.01742449294532628,9.93196097883598
9,55,1.3790295783,2166,38,0,0,0.32145421480611047,5.5114638447971785e-06,0.011937830687830688
9,56,1.7915917863999997,228,4,0,0,0.41762318953321376,0.0001515652557319224,0.03455687830687831
9,57,2.032316976300001,627,11,0,0,0.4737366537554603,0.0007164902998236331,0.44923941798941797
9,58,2.247458379400001,228,4,0,0,0.5238864923767973,0.002287257495590829,0.521494708994709
9,59,2.6041422761000006,342,6,0,0,0.6070301346538733,0.011709104938271604,4.004513888888889
9,60,2.2395412011999998,1026,18,0,0,0.5220409842442605,0.0021963183421516755,2.253422619047619
9,61,2.2650066109000004,285,5,0,0,0.527977015935416,0.002540784832451499,0.7241236772486772
9,62,2.2851643897999994,456,8,0,0,0.5326758295725552,0.0027970679012345677,1.2754629629629628
9,63,1.6814286231,684,12,0,0,0.3919439628390239,5.511463844797178e-05,0.037698412698412696
9,64,2.337847589200001,570,10,0,0,0.5449563758081756,0.0036651234567901233,2.0891203703703702
9,65,1.9803590027999995,1083,19,0,0,0.4616251589498527,0.0005456349206349206,0.5909226190476191
9,66,2.0146110501000005,1539,27,0,0,0.4696093712855277,0.0006531084656084656,1.0051339285714287
